metric,value
framework_overhead_ms,3541.656400
speculative_vs_true_speedup,0.950943
speculative_vs_zero_draft_speedup,1.296483
target_verify_reduction_ms,3031.052000
framework_overhead_ms_median,3372.858000
speculative_vs_true_speedup_median,0.928812
speculative_vs_zero_draft_speedup_median,1.252473
target_verify_reduction_ms_median,2859.711000
draft_overhead_ms,3502.296000
net_time_saved_ms,-792.515000
accepted_tokens_per_drafted_token,0.660650
accepted_tokens_per_sample,109.800000
