metric,value
framework_overhead_ms,4729.897667
speculative_vs_true_speedup,0.691804
speculative_vs_zero_draft_speedup,1.145096
target_verify_reduction_ms,2068.129333
framework_overhead_ms_median,5282.627000
speculative_vs_true_speedup_median,0.631067
speculative_vs_zero_draft_speedup_median,1.121375
target_verify_reduction_ms_median,2602.540000
draft_overhead_ms,2686.017333
net_time_saved_ms,-3438.994333
accepted_tokens_per_drafted_token,0.671717
accepted_tokens_per_sample,44.333333
